0.774883 0 1.54977 0.447379 1.54977 1.34214 0.774883 1.78952 0 1.34214 0 0.447379 0
2.32465 0 3.09953 0.447379 3.09953 1.34214 2.32465 1.78952 1.54977 1.34214 1.54977 0.447379 1
3.87442 0 4.6493 0.447379 4.6493 1.34214 3.87442 1.78952 3.09953 1.34214 3.09953 0.447379 0
5.42418 0 6.19907 0.447379 6.19907 1.34214 5.42418 1.78952 4.6493 1.34214 4.6493 0.447379 0
6.97395 0 7.74883 0.447379 7.74883 1.34214 6.97395 1.78952 6.19907 1.34214 6.19907 0.447379 1
8.52372 0 9.2986 0.447379 9.2986 1.34214 8.52372 1.78952 7.74883 1.34214 7.74883 0.447379 1
10.0735 0 10.8484 0.447379 10.8484 1.34214 10.0735 1.78952 9.2986 1.34214 9.2986 0.447379 0
11.6233 0 12.3981 0.447379 12.3981 1.34214 11.6233 1.78952 10.8484 1.34214 10.8484 0.447379 1
13.173 0 13.9479 0.447379 13.9479 1.34214 13.173 1.78952 12.3981 1.34214 12.3981 0.447379 0
14.7228 0 15.4977 0.447379 15.4977 1.34214 14.7228 1.78952 13.9479 1.34214 13.9479 0.447379 1
16.2726 0 17.0474 0.447379 17.0474 1.34214 16.2726 1.78952 15.4977 1.34214 15.4977 0.447379 1
17.8223 0 18.5972 0.447379 18.5972 1.34214 17.8223 1.78952 17.0474 1.34214 17.0474 0.447379 1
19.3721 0 20.147 0.447379 20.147 1.34214 19.3721 1.78952 18.5972 1.34214 18.5972 0.447379 1
20.9219 0 21.6967 0.447379 21.6967 1.34214 20.9219 1.78952 20.147 1.34214 20.147 0.447379 0
22.4716 0 23.2465 0.447379 23.2465 1.34214 22.4716 1.78952 21.6967 1.34214 21.6967 0.447379 1
24.0214 0 24.7963 0.447379 24.7963 1.34214 24.0214 1.78952 23.2465 1.34214 23.2465 0.447379 0
25.5712 0 26.346 0.447379 26.346 1.34214 25.5712 1.78952 24.7963 1.34214 24.7963 0.447379 1
27.1209 0 27.8958 0.447379 27.8958 1.34214 27.1209 1.78952 26.346 1.34214 26.346 0.447379 1
28.6707 0 29.4456 0.447379 29.4456 1.34214 28.6707 1.78952 27.8958 1.34214 27.8958 0.447379 0
30.2205 0 30.9953 0.447379 30.9953 1.34214 30.2205 1.78952 29.4456 1.34214 29.4456 0.447379 0
31.7702 0 32.5451 0.447379 32.5451 1.34214 31.7702 1.78952 30.9953 1.34214 30.9953 0.447379 0
33.32 0 34.0949 0.447379 34.0949 1.34214 33.32 1.78952 32.5451 1.34214 32.5451 0.447379 1
34.8698 0 35.6446 0.447379 35.6446 1.34214 34.8698 1.78952 34.0949 1.34214 34.0949 0.447379 1
36.4195 0 0 0.447379 0 1.34214 36.4195 1.78952 35.6446 1.34214 35.6446 0.447379 0
1.54977 1.34214 2.32465 1.78952 2.32465 2.68427 1.54977 3.13165 0.774883 2.68427 0.774883 1.78952 1
3.09953 1.34214 3.87442 1.78952 3.87442 2.68427 3.09953 3.13165 2.32465 2.68427 2.32465 1.78952 0
4.6493 1.34214 5.42418 1.78952 5.42418 2.68427 4.6493 3.13165 3.87442 2.68427 3.87442 1.78952 1
6.19907 1.34214 6.97395 1.78952 6.97395 2.68427 6.19907 3.13165 5.42418 2.68427 5.42418 1.78952 1
7.74883 1.34214 8.52372 1.78952 8.52372 2.68427 7.74883 3.13165 6.97395 2.68427 6.97395 1.78952 0
9.2986 1.34214 10.0735 1.78952 10.0735 2.68427 9.2986 3.13165 8.52372 2.68427 8.52372 1.78952 0
10.8484 1.34214 11.6233 1.78952 11.6233 2.68427 10.8484 3.13165 10.0735 2.68427 10.0735 1.78952 1
12.3981 1.34214 13.173 1.78952 13.173 2.68427 12.3981 3.13165 11.6233 2.68427 11.6233 1.78952 1
13.9479 1.34214 14.7228 1.78952 14.7228 2.68427 13.9479 3.13165 13.173 2.68427 13.173 1.78952 1
15.4977 1.34214 16.2726 1.78952 16.2726 2.68427 15.4977 3.13165 14.7228 2.68427 14.7228 1.78952 1
17.0474 1.34214 17.8223 1.78952 17.8223 2.68427 17.0474 3.13165 16.2726 2.68427 16.2726 1.78952 1
18.5972 1.34214 19.3721 1.78952 19.3721 2.68427 18.5972 3.13165 17.8223 2.68427 17.8223 1.78952 0
20.147 1.34214 20.9219 1.78952 20.9219 2.68427 20.147 3.13165 19.3721 2.68427 19.3721 1.78952 1
21.6967 1.34214 22.4716 1.78952 22.4716 2.68427 21.6967 3.13165 20.9219 2.68427 20.9219 1.78952 1
23.2465 1.34214 24.0214 1.78952 24.0214 2.68427 23.2465 3.13165 22.4716 2.68427 22.4716 1.78952 0
24.7963 1.34214 25.5712 1.78952 25.5712 2.68427 24.7963 3.13165 24.0214 2.68427 24.0214 1.78952 0
26.346 1.34214 27.1209 1.78952 27.1209 2.68427 26.346 3.13165 25.5712 2.68427 25.5712 1.78952 0
27.8958 1.34214 28.6707 1.78952 28.6707 2.68427 27.8958 3.13165 27.1209 2.68427 27.1209 1.78952 0
29.4456 1.34214 30.2205 1.78952 30.2205 2.68427 29.4456 3.13165 28.6707 2.68427 28.6707 1.78952 1
30.9953 1.34214 31.7702 1.78952 31.7702 2.68427 30.9953 3.13165 30.2205 2.68427 30.2205 1.78952 1
32.5451 1.34214 33.32 1.78952 33.32 2.68427 32.5451 3.13165 31.7702 2.68427 31.7702 1.78952 0
34.0949 1.34214 34.8698 1.78952 34.8698 2.68427 34.0949 3.13165 33.32 2.68427 33.32 1.78952 0
35.6446 1.34214 36.4195 1.78952 36.4195 2.68427 35.6446 3.13165 34.8698 2.68427 34.8698 1.78952 0
0 1.34214 0.774883 1.78952 0.774883 2.68427 0 3.13165 36.4195 2.68427 36.4195 1.78952 0
0.774883 2.68427 1.54977 3.13165 1.54977 4.02641 0.774883 4.47379 0 4.02641 0 3.13165 1
2.32465 2.68427 3.09953 3.13165 3.09953 4.02641 2.32465 4.47379 1.54977 4.02641 1.54977 3.13165 0
3.87442 2.68427 4.6493 3.13165 4.6493 4.02641 3.87442 4.47379 3.09953 4.02641 3.09953 3.13165 1
5.42418 2.68427 6.19907 3.13165 6.19907 4.02641 5.42418 4.47379 4.6493 4.02641 4.6493 3.13165 0
6.97395 2.68427 7.74883 3.13165 7.74883 4.02641 6.97395 4.47379 6.19907 4.02641 6.19907 3.13165 0
8.52372 2.68427 9.2986 3.13165 9.2986 4.02641 8.52372 4.47379 7.74883 4.02641 7.74883 3.13165 0
