0	
1.04041	
2.03118	22.7593	24.007	2.03118
35.0917	0.54918	2.03118
13.5069	15.5792	2.03118
24.3913	24.2692	2.03118
34.4505	14.2021	2.03118
11.6294	18.3499	2.03118

3.01764	20.7381	8.37002	3.01764
6.79165	18.6129	3.01764
36.5638	12.1299	3.01764
24.4997	22.469	3.01764
18.5698	13.3794	3.01764
33.9125	31.3554	3.01764
13.8316	17.5039	3.01764
33.9394	12.7832	3.01764
5.50583	4.89716	3.01764
36.4403	14.0832	3.01764
33.4825	1.81075	3.01764
22.5639	13.5567	3.01764
26.814	18.7274	3.01764
19.1614	25.1127	3.01764
35.9708	25.3365	3.01764
34.0025	12.8943	3.01764
26.9194	26.6172	3.01764
16.4954	31.6692	3.01764
9.5725	8.2152	3.01764
21.8061	8.40895	3.01764
23.9074	20.7745	3.01764
25.7499	25.2586	3.01764
18.0699	28.8851	3.01764

4.0456	0.564182	10.9821	4.0456
9.31843	13.7613	4.0456
3.57768	15.0887	4.0456
28.8745	27.9486	4.0456
1.00676	27.5578	4.0456
18.4541	31.1062	4.0456
5.68471	6.30615	4.0456
16.696	23.3248	4.0456
11.5895	6.63698	4.0456
14.273	1.16554	4.0456
11.5762	6.65088	4.0456
12.731	21.4795	4.0456
11.5756	6.65764	4.0456
0.856412	6.9826	4.0456
36.2151	17.4734	4.0456
15.6565	23.8094	4.0456
23.2456	30.4131	4.0456
20.9798	1.29353	4.0456
11.5523	6.68378	4.0456
13.48	20.1888	4.0456
11.554	6.68947	4.0456
34.6184	12.9083	4.0456
24.3659	22.4301	4.0456
11.5347	6.71313	4.0456
34.2438	31.6482	4.0456
11.5361	6.71878	4.0456
3.5792	15.2232	4.0456

5.03618	0.791629	17.995	5.03618
11.404	8.00284	5.03618
10.91	21.7929	5.03618
24.2182	23.5812	5.03618
25.0293	31.8355	5.03618
29.3631	18.0513	5.03618
1.01891	9.53185	5.03618
29.6062	20.5091	5.03618
33.0812	1.45771	5.03618
36.9058	0.133653	5.03618
14.171	15.2881	5.03618
26.6938	1.98104	5.03618
21.746	3.1173	5.03618
36.3198	14.0791	5.03618
29.9917	26.3919	5.03618
15.647	2.11484	5.03618
27.9529	6.59397	5.03618
20.4044	17.6383	5.03618
20.3497	10.1426	5.03618

6.04328	34.1219	27.0873	6.04328
17.4263	7.29745	6.04328
20.1096	16.0525	6.04328
5.7952	19.3805	6.04328
0.898636	15.6587	6.04328
34.1087	27.0842	6.04328
2.26415	21.9232	6.04328
16.2692	26.314	6.04328
34.1084	27.0828	6.04328
28.9995	27.6433	6.04328
34.2702	13.9085	6.04328
20.022	8.85865	6.04328
33.8908	7.68734	6.04328
34.0959	27.0797	6.04328
34.0962	27.078	6.04328
34.0843	27.0764	6.04328
34.0846	27.0757	6.04328
34.0684	27.0696	6.04328
34.0694	27.0682	6.04328
34.0603	27.0642	6.04328
34.0617	27.0619	6.04328
34.057	27.0601	6.04328
29.0011	5.82426	6.04328
28.9859	17.9239	6.04328
34.0581	27.0582	6.04328
34.0487	27.0535	6.04328
36.8112	16.05	6.04328
8.72259	19.4481	6.04328
34.05	27.0523	6.04328
16.183	28.5811	6.04328
34.0411	27.0488	6.04328

7.02148	23.9759	7.53163	7.02148
34.0431	27.0472	7.02148
8.71513	19.4737	7.02148
34.0337	27.0441	7.02148
34.035	27.0427	7.02148
19.3802	14.0025	7.02148
34.0258	27.0391	7.02148
34.0283	27.0368	7.02148
34.0245	27.0352	7.02148
17.8308	18.1936	7.02148
34.0266	27.0334	7.02148
34.0191	27.0294	7.02148
18.5425	16.5503	7.02148
34.021	27.0272	7.02148
8.71581	19.5239	7.02148
34.0139	27.023	7.02148
34.016	27.0205	7.02148
14.2866	15.2504	7.02148
36.5619	0.206852	7.02148
34.0085	27.0156	7.02148
34.0111	27.0124	7.02148
24.1845	9.25238	7.02148
8.71011	19.5535	7.02148
34.0045	27.0062	7.02148
34.0074	27.0027	7.02148
21.0965	0.0441309	7.02148
18.0767	24.7315	7.02148
7.86456	8.40797	7.02148
34.0014	26.9959	7.02148
11.9781	25.8721	7.02148
34.004	26.9926	7.02148

8.03736	15.4693	18.2326	8.03736
33.9973	26.9866	8.03736
34.0004	26.9832	8.03736
17.651	5.86873	8.03736
33.9932	26.9767	8.03736
33.9958	26.974	8.03736
33.9882	26.97	8.03736
33.9918	26.9677	8.03736
1.62834	15.9083	8.03736
1.90069	19.3391	8.03736
30.6623	22.4156	8.03736
33.9845	26.9646	8.03736
33.9873	26.9625	8.03736
33.9813	26.9582	8.03736
33.986	26.9545	8.03736
33.9805	26.9488	8.03736
33.9833	26.9458	8.03736
29.0706	27.3158	8.03736
13.0865	31.9293	8.03736
33.9766	26.9418	8.03736
33.979	26.939	8.03736
5.82699	13.5432	8.03736
33.9716	26.9365	8.03736
33.9733	26.9347	8.03736
33.9658	26.9326	8.03736

9.00997	33.9682	26.9306	9.00997
33.9619	26.9269	9.00997
33.9642	26.9249	9.00997
33.9586	26.9214	9.00997
29.1378	17.804	9.00997
33.9619	26.9192	9.00997
0.975936	23.5093	9.00997
33.9567	26.9144	9.00997
33.9596	26.9121	9.00997
29.1229	17.8032	9.00997
33.9537	26.9071	9.00997
29.1241	17.8048	9.00997
33.9563	26.9045	9.00997
33.9505	26.8998	9.00997
33.9527	26.8976	9.00997
33.9463	26.8927	9.00997
33.9491	26.8904	9.00997
33.9446	26.8855	9.00997
33.9473	26.8829	9.00997
24.1389	7.03786	9.00997
33.9437	26.8771	9.00997

10.0347	33.9476	26.8744	10.0347
33.9448	26.8681	10.0347
33.9477	26.865	10.0347
33.9448	26.8583	10.0347
33.9476	26.8545	10.0347
18.1003	18.061	10.0347
28.7244	30.959	10.0347
33.9458	26.846	10.0347
33.9484	26.8424	10.0347
33.9457	26.8339	10.0347
33.9478	26.8298	10.0347
33.9448	26.8201	10.0347
33.9466	26.8155	10.0347
33.9433	26.8062	10.0347
33.9447	26.8023	10.0347
24.0093	22.6191	10.0347
33.9421	26.7924	10.0347
33.944	26.789	10.0347
33.9414	26.7794	10.0347
33.9432	26.7761	10.0347

11.0081	33.9413	26.7661	11.0081
33.9436	26.7624	11.0081
33.9425	26.7579	11.0081
33.9446	26.7535	11.0081
33.9434	26.7496	11.0081
33.9456	26.7455	11.0081
33.9449	26.7413	11.0081
33.9474	26.7364	11.0081
33.9472	26.7316	11.0081
33.9504	26.7266	11.0081
33.9505	26.7215	11.0081
33.9526	26.7183	11.0081
33.9527	26.7123	11.0081
11.3931	10.4593	11.0081
33.9558	26.7086	11.0081
23.6403	6.90392	11.0081
33.956	26.7032	11.0081
33.9588	26.699	11.0081
33.9583	26.6939	11.0081
33.9598	26.6902	11.0081
33.959	26.6847	11.0081
27.8572	6.97226	11.0081
33.961	26.6809	11.0081
33.9604	26.6763	11.0081
33.9629	26.6722	11.0081
33.9622	26.668	11.0081
33.9636	26.6658	11.0081
33.9626	26.6603	11.0081

12.0232	25.2907	2.15062	12.0232
33.9651	26.6575	12.0232
28.6728	1.61013	12.0232
27.0366	6.14709	12.0232
33.9643	26.6538	12.0232
23.5045	29.8188	12.0232
6.62908	1.27993	12.0232
5.08047	5.12207	12.0232
12.2626	24.4541	12.0232
33.9668	26.6516	12.0232
33.9662	26.6475	12.0232
33.8875	30.2492	12.0232
31.6734	11.7885	12.0232
33.9681	26.6456	12.0232
33.9671	26.6415	12.0232
33.9689	26.6396	12.0232
1.67709	21.0823	12.0232
24.302	20.947	12.0232
25.6203	26.5107	12.0232
33.9678	26.6358	12.0232
28	12.1374	12.0232
22.0874	17.1435	12.0232
13.7478	19.771	12.0232
33.9693	26.6346	12.0232
33.9682	26.6316	12.0232
1.12667	9.18099	12.0232
3.92162	22.5875	12.0232
33.9702	26.6298	12.0232
15.0379	19.9566	12.0232
33.9688	26.6265	12.0232
2.02714	18.7921	12.0232
33.9698	26.6249	12.0232
33.9681	26.6213	12.0232
17.1091	6.49741	12.0232
